date,card,source_mode,application,sample,latency_us,latency_ms
2026-06-05,Elgato 4K X,4K120,"NitLink (Low-Latency, 117 Hz cap)",50,49835,49.835
2026-06-05,Elgato 4K X,4K120,"NitLink (Low-Latency, 117 Hz cap)",51,43007,43.007
2026-06-05,Elgato 4K X,4K120,"NitLink (Low-Latency, 117 Hz cap)",52,60912,60.912
2026-06-05,Elgato 4K X,4K120,"NitLink (Low-Latency, 117 Hz cap)",53,41513,41.513
2026-06-05,Elgato 4K X,4K120,"NitLink (Low-Latency, 117 Hz cap)",54,60839,60.839
2026-06-05,Elgato 4K X,4K120,"NitLink (Low-Latency, 117 Hz cap)",55,47777,47.777
2026-06-05,Elgato 4K X,4K120,"NitLink (Low-Latency, 117 Hz cap)",56,47753,47.753
2026-06-05,Elgato 4K X,4K120,"NitLink (Low-Latency, 117 Hz cap)",57,51144,51.144
2026-06-05,Elgato 4K X,4K120,"NitLink (Low-Latency, 117 Hz cap)",58,45923,45.923
2026-06-05,Elgato 4K X,4K120,"NitLink (Low-Latency, 117 Hz cap)",59,49421,49.421
2026-06-05,Elgato 4K X,4K120,"NitLink (Low-Latency, 117 Hz cap)",60,50147,50.147
2026-06-05,Elgato 4K X,4K120,"NitLink (Low-Latency, 117 Hz cap)",61,48414,48.414
2026-06-05,Elgato 4K X,4K120,"NitLink (Low-Latency, 117 Hz cap)",62,45378,45.378
2026-06-05,Elgato 4K X,4K120,"NitLink (Low-Latency, 117 Hz cap)",63,44508,44.508
2026-06-05,Elgato 4K X,4K120,"NitLink (Low-Latency, 117 Hz cap)",64,50675,50.675
2026-06-05,Elgato 4K X,4K120,"NitLink (Low-Latency, 117 Hz cap)",65,57239,57.239
2026-06-05,Elgato 4K X,4K120,"NitLink (Low-Latency, 117 Hz cap)",66,46038,46.038
2026-06-05,Elgato 4K X,4K120,"NitLink (Low-Latency, 117 Hz cap)",67,48113,48.113
2026-06-05,Elgato 4K X,4K120,"NitLink (Low-Latency, 117 Hz cap)",68,44322,44.322
2026-06-05,Elgato 4K X,4K120,"NitLink (Low-Latency, 117 Hz cap)",69,54035,54.035
2026-06-05,Elgato 4K X,4K120,"NitLink (Low-Latency, 117 Hz cap)",70,53382,53.382
2026-06-05,Elgato 4K X,4K120,"NitLink (Low-Latency, 117 Hz cap)",71,50160,50.160
2026-06-05,Elgato 4K X,4K120,"NitLink (Low-Latency, 117 Hz cap)",72,49001,49.001
